"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"","
"British Virgin Islands,""VGB"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Virgin Islands (U.S.),""VIR"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Vietnam,""VNM"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1751"",""1533"",""1521"",""1324"",""1398"",""1921"",""2338"",""2000"",""2674"",""2682"",""2928"",""3447"",""3910"",""4106"",""4139"",""3901"",""4101"",""3959"",""3733"",""4251.9"",""4125.4"",""3190"",""3574"",""3989"","""","""","""","
"Vanuatu,""VUT"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"World,""WLD"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2067"",""2139"",""2287.5"",""2555.5"",""2106"",""2282"",""3982"",""3766"",""3563.5"",""3904"",""4179.5"",""5396"",""5837"","""","""",""6228"","""","""","""","""","""","""","""","""","""","""","""","
"Samoa,""WSM"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Kosovo,""XKX"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Yemen, Rep.,""YEM"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"South Africa,""ZAF"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""99850"",""99773"",""103866"",""102777"","""",""100434"",""106654"",""105719"",""105724"",""106549"",""108513"","""",""106014"",""113342"","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Zambia,""ZMB"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""462"",""536"",""473"",""555"",""554"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""297"","""","""","""","""","
"Zimbabwe,""ZWE"",""Railways, goods transported (million ton-km)"",""IS.RRS.GOOD.MT.K6"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1580"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
